login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
mitchdenny,mitchdenny/AspireGithubCopilot,2024-10-20T22:25:44Z,0,0,,True,True,
Zemerik,Zemerik/Join_Org,2024-10-20T05:06:10Z,0,0,,True,True,
JaseZiv,JaseZiv/mlb-analysis,2024-10-20T03:52:11Z,0,0,R,True,True,
sammcj,sammcj/crewAI,2024-10-19T04:21:59Z,0,0,Python,True,False,MIT License
pento,pento/discourse,2024-10-19T03:35:35Z,0,0,Ruby,True,False,GNU General Public License v2.0
TrustAGI-Lab,TrustAGI-Lab/graph-constrained-reasoning,2024-10-18T03:15:54Z,1,1,,True,True,MIT License
jxom,jxom/chains,2024-10-17T02:06:00Z,1,1,,True,False,MIT License
kawarimidoll,kawarimidoll/awesome-yasunori,2024-10-16T04:56:54Z,0,0,,True,False,MIT License
MugunthKumar,MugunthKumar/Enphase-Envoy-mqtt-json,2024-10-16T04:55:10Z,0,0,Python,True,True,MIT License
UnexpectedMaker,UnexpectedMaker/Light-Crystals,2024-10-15T00:27:56Z,1,1,C++,True,True,MIT License
rmit-computing-technologies,rmit-computing-technologies/redbackbots-gamesight,2024-10-14T22:43:24Z,0,0,ShaderLab,False,True,Other
initstring,initstring/openbas,2024-10-14T20:59:22Z,0,0,Java,True,True,Other
mokagio,mokagio/binary-clocks,2024-10-14T15:14:49Z,0,0,Ruby,True,True,
mitchdenny,mitchdenny/AspNetCore.Diagnostics.HealthChecks,2024-10-14T02:03:09Z,0,0,,True,True,Apache License 2.0
eliocamp,eliocamp/2024_wombat_metR,2024-10-14T00:20:38Z,1,1,HTML,True,True,
jmattsson,jmattsson/esp-picotts,2024-10-13T07:13:04Z,0,0,,True,True,
abruzzi,abruzzi/activity-chart,2024-10-12T00:34:07Z,0,0,TypeScript,True,True,
Zemerik,Zemerik/awesome-login-pages,2024-10-11T08:19:49Z,0,0,,True,True,MIT License
MugunthKumar,MugunthKumar/Audible,2024-10-11T06:29:02Z,0,0,,True,False,GNU Affero General Public License v3.0
aaronparker,aaronparker/NMW,2024-10-10T22:32:59Z,0,0,PowerShell,True,True,
nataliethenerd,nataliethenerd/BucketAmpGBA,2024-10-10T15:26:49Z,1,1,,True,True,
mitchdenny,mitchdenny/aspire9-withcodespaces,2024-10-09T11:56:32Z,0,0,C#,True,True,MIT License
Falconerd,Falconerd/cachesim_odin,2024-10-09T09:16:38Z,0,0,Odin,True,True,
Expensify,Expensify/GitHub-Actions,2024-10-08T20:19:46Z,0,0,,False,False,
KaelWD,KaelWD/coolify,2024-10-08T14:28:07Z,0,0,,True,False,Apache License 2.0
engram-design,engram-design/craft-calendar,2024-10-07T23:15:37Z,0,0,,True,False,Other
rrwick,rrwick/all2vcf,2024-10-07T01:23:41Z,5,5,Python,True,True,GNU General Public License v3.0
mitchdenny,mitchdenny/aspire-withcodespaces,2024-10-07T00:43:15Z,2,2,C#,True,True,MIT License
jxom,jxom/coinbase-wallet-sdk,2024-10-06T20:47:47Z,0,0,,True,False,MIT License
Zemerik,Zemerik/Netflix-Clone,2024-10-05T12:54:52Z,15,15,Vue,False,False,MIT License
mitchdenny,mitchdenny/aspire-dogfood-9.0.0,2024-10-05T07:00:30Z,0,0,,True,True,MIT License
martinbjeldbak,martinbjeldbak/core,2024-10-05T06:03:53Z,0,0,,True,False,Apache License 2.0
Zemerik,Zemerik/X-Clone,2024-10-03T13:16:13Z,16,16,Vue,False,False,MIT License
xxfast,xxfast/DesignPatterns,2024-10-03T12:58:38Z,2,2,Java,True,False,
beekhof,beekhof/enhancements,2024-10-02T23:12:12Z,0,0,,True,True,Apache License 2.0
junhaow1,junhaow1/neon_circular_timer,2024-10-01T23:56:57Z,0,0,,True,True,MIT License
andyyhope,andyyhope/andyyhope.github.io,2024-10-01T04:05:56Z,0,0,HTML,True,True,
aaronparker,aaronparker/ApplicationControl,2024-10-01T01:50:26Z,3,3,,True,False,MIT License
jeromyanglim,jeromyanglim/academicdates,2024-10-01T00:03:55Z,0,0,R,True,True,
psifertex,psifertex/binja_coolsigmaker,2024-09-30T18:11:36Z,0,0,Rust,True,False,GNU Affero General Public License v3.0
abcminiuser,abcminiuser/cpp-raytracer,2024-09-28T08:02:35Z,0,0,C++,True,True,
merill,merill/entra-powershell,2024-09-27T22:46:03Z,1,1,,True,True,MIT License
justinfrench,justinfrench/rails,2024-09-27T12:01:41Z,0,0,,True,False,MIT License
RoyalIcing,RoyalIcing/ash,2024-09-26T07:22:43Z,0,0,,True,True,MIT License
mitchdenny,mitchdenny/aspire2,2024-09-26T06:39:37Z,1,1,C#,True,True,MIT License
mitchdenny,mitchdenny/aspire1,2024-09-26T06:37:46Z,0,0,C#,True,True,MIT License
tmeasday,tmeasday/ap-4995,2024-09-26T04:36:28Z,0,0,,True,True,
KyeOnDiscord,KyeOnDiscord/DeviceAuthGenerator,2024-09-25T08:40:03Z,1,1,Python,True,True,Other
tgdwyer,tgdwyer/doctest,2024-09-25T06:29:05Z,0,0,Haskell,True,False,MIT License
initstring,initstring/awesome-annual-security-reports,2024-09-25T04:13:08Z,0,0,,True,True,Creative Commons Zero v1.0 Universal
tqwewe,tqwewe/cli,2024-09-24T18:05:42Z,0,0,,True,True,GNU General Public License v3.0
mblode,mblode/ai-search,2024-09-23T17:33:57Z,0,0,TypeScript,True,True,
Zemerik,Zemerik/Linktree,2024-09-23T07:33:00Z,15,15,Astro,True,False,MIT License
initstring,initstring/connectors,2024-09-22T20:55:54Z,0,0,,True,True,Apache License 2.0
dicook,dicook/e61_training,2024-09-22T11:06:34Z,2,2,HTML,True,True,Creative Commons Zero v1.0 Universal
sammcj,sammcj/CogVideoX-5B-multi-gpu,2024-09-22T00:13:52Z,1,1,Python,True,True,
alecthegeek,alecthegeek/bar.wezterm,2024-09-21T21:53:14Z,0,0,Lua,True,True,MIT License
Zemerik,Zemerik/Resume,2024-09-21T11:01:42Z,16,16,Astro,False,False,MIT License
sayboras,sayboras/controller-tools,2024-09-20T14:09:39Z,0,0,,True,True,Apache License 2.0
sayboras,sayboras/gengo,2024-09-20T13:21:19Z,0,0,,True,True,Apache License 2.0
pazaan,pazaan/terraform-aws-ecs-cluster,2024-09-20T01:19:36Z,0,0,,True,False,Apache License 2.0
binarythistle,binarythistle/CommadAPI8,2024-09-19T09:08:12Z,0,0,C#,True,True,
kivikakk,kivikakk/eheap,2024-09-19T06:35:11Z,0,0,Zig,False,False,GNU General Public License v3.0
psifertex,psifertex/binja_gameroms_plugin,2024-09-18T15:35:50Z,0,0,,True,True,MIT License
okeeffed,okeeffed/Adv360-Pro-ZMK,2024-09-18T06:49:48Z,0,0,Shell,True,True,MIT License
cjbj,cjbj/odpi,2024-09-18T04:45:18Z,0,0,,True,False,Other
cjbj,cjbj/python-oracledb,2024-09-18T04:42:08Z,0,0,,True,False,Other
Aisuko,Aisuko/fed_lu,2024-09-17T12:40:58Z,0,0,Python,True,True,GNU General Public License v3.0
danilodelucio,danilodelucio/DL_Invoice_Generator,2024-09-16T09:17:13Z,0,0,,True,True,
akmand,akmand/akmand.github.io,2024-09-16T00:12:59Z,0,0,,True,True,MIT License
robskillington,robskillington/fluent-bit,2024-09-14T01:43:36Z,0,0,,True,True,Apache License 2.0
waferbaby,waferbaby/heyparis,2024-09-14T01:34:49Z,0,0,HTML,True,False,
tqwewe,tqwewe/awesome-rust,2024-09-13T09:30:35Z,0,0,Rust,True,False,Creative Commons Zero v1.0 Universal
Aisuko,Aisuko/clinical_notes,2024-09-13T06:44:21Z,1,1,Python,True,True,
Aisuko,Aisuko/GNNDelete,2024-09-13T05:50:05Z,0,0,Python,True,True,MIT License
mohammadKarimi,mohammadKarimi/ghost,2024-09-13T01:59:37Z,4,4,,True,True,
ocavue,ocavue/astro-theme-toggle,2024-09-12T14:29:34Z,21,21,Astro,True,False,MIT License
lvjian700,lvjian700/notebooks,2024-09-12T13:06:43Z,0,0,Jupyter Notebook,True,True,
sporto,sporto/aws4_request,2024-09-12T01:12:03Z,0,0,,True,True,
mohammadKarimi,mohammadKarimi/efcore,2024-09-11T03:19:05Z,2,2,C#,True,False,MIT License
Expensify,Expensify/php-build,2024-09-09T14:27:27Z,0,0,Shell,True,False,MIT License
shsingh,shsingh/deployKF,2024-09-07T07:03:20Z,0,0,,True,False,Apache License 2.0
binarythistle,binarythistle/apibook.net8,2024-09-07T02:13:31Z,5,5,C#,True,True,
peterwilsoncc,peterwilsoncc/gutenberg-build,2024-09-06T22:36:33Z,0,0,JavaScript,True,True,
Aisuko,Aisuko/mimic_iv_pipe_sage_maker,2024-09-05T08:42:22Z,2,2,Jupyter Notebook,True,False,MIT License
KaelWD,KaelWD/async,2024-09-05T07:34:30Z,0,0,,True,True,MIT License
md-5,md-5/clients,2024-09-04T10:47:21Z,0,0,,True,False,Other
rmit-computing-technologies,rmit-computing-technologies/webfun2,2024-09-04T05:54:15Z,0,0,,False,True,
eliotharper,eliotharper/DF24-Data-Cloud-Workshop,2024-09-03T23:08:45Z,2,2,HTML,False,False,
Mair,Mair/lvgl-esp32-port,2024-09-03T09:41:12Z,0,0,C,True,True,
glennawatson,glennawatson/GitReleaseNoteGenerator,2024-09-03T08:53:29Z,2,2,,True,True,MIT License
MattCowgill,MattCowgill/colorblindr,2024-09-03T03:43:10Z,0,0,R,True,True,MIT License
djmdjm,djmdjm/libcrux,2024-09-02T07:01:18Z,0,0,C,True,True,Apache License 2.0
waferbaby,waferbaby/lobsters,2024-09-01T09:51:04Z,0,0,,True,True,Other
initstring,initstring/opencti,2024-09-01T07:45:59Z,1,1,,True,False,Other
Aisuko,Aisuko/mimic_automatic,2024-08-31T23:18:12Z,0,0,Jupyter Notebook,True,False,MIT License
pazaan,pazaan/terraform-aws-ecs-cloudwatch-sns-alarms,2024-08-31T04:13:29Z,0,0,,True,False,Apache License 2.0
JaseZiv,JaseZiv/lectures,2024-08-30T22:05:25Z,0,0,,True,True,MIT License
mishmanners,mishmanners/copilot-hands-on,2024-08-30T11:53:41Z,0,0,,True,True,MIT License
djmdjm,djmdjm/crypto,2024-08-30T06:35:53Z,0,0,,True,False,"BSD 3-Clause ""New"" or ""Revised"" License"
navidcy,navidcy/ATOC30006-demos,2024-08-29T23:08:41Z,0,0,Julia,True,True,Apache License 2.0
andycasey,andycasey/astropy,2024-08-29T19:45:50Z,0,0,Python,True,True,"BSD 3-Clause ""New"" or ""Revised"" License"
mosh-hamedani,mosh-hamedani/python-projects-for-beginners,2024-08-29T17:14:21Z,73,73,Python,True,False,
nataliethenerd,nataliethenerd/CPU-E-MGBC,2024-08-29T17:06:20Z,8,8,,True,True,Other
andycasey,andycasey/AS5_random,2024-08-28T14:09:15Z,0,0,,True,True,
djmdjm,djmdjm/kyber,2024-08-27T23:51:28Z,0,0,,True,True,Other
esteinig,esteinig/delphy,2024-08-27T11:10:48Z,0,0,,True,True,Other
Anon-Exploiter,Anon-Exploiter/AD_Miner,2024-08-27T00:37:06Z,0,0,,True,False,GNU General Public License v3.0
robskillington,robskillington/flight-cal,2024-08-25T10:04:42Z,0,0,Go,True,True,
KyeOnDiscord,KyeOnDiscord/facebook-marketplace-scraper,2024-08-25T00:53:21Z,0,0,Python,True,False,
mohammadKarimi,mohammadKarimi/Riter,2024-08-23T05:57:14Z,32,32,C#,True,True,MIT License
NiREvil,NiREvil/nirevil.github.io,2024-08-20T15:46:39Z,5,5,JavaScript,True,True,MIT License
loklaan,loklaan/effect.website,2024-08-20T07:03:49Z,0,0,,True,True,
sammcj,sammcj/angular-seed-genai-uplift-example,2024-08-20T04:36:54Z,0,0,,True,False,MIT License
Djelibeybi,Djelibeybi/hass-ExoyONE,2024-08-18T13:17:37Z,2,2,Python,False,False,MIT License
prodigysml,prodigysml/steampipe-plugin-cyclonedx,2024-08-17T08:14:16Z,2,2,Go,True,True,
sammcj,sammcj/ai-artifacts,2024-08-15T11:52:02Z,2,2,TypeScript,True,True,Apache License 2.0
BeauNouvelle,BeauNouvelle/Aaliyah-privacy-policy,2024-08-15T07:33:41Z,0,0,,True,True,
Alhadis,Alhadis/7zinfo,2024-08-15T02:23:54Z,0,0,Perl,True,True,ISC License
philnash,philnash/astra-db-ts,2024-08-12T06:34:03Z,0,0,,True,True,Apache License 2.0
aaronparker,aaronparker/ubuntu,2024-08-11T01:16:45Z,3,3,,False,False,MIT License
nataliethenerd,nataliethenerd/enhancedcontrolcheckerGBA,2024-08-10T15:06:45Z,6,6,Makefile,True,True,Other
jxom,jxom/coinbase-sdk-nodejs,2024-08-10T07:09:07Z,0,0,,True,False,Other
UnexpectedMaker,UnexpectedMaker/Adafruit_LIS3DH,2024-08-09T21:52:08Z,0,0,C++,True,False,Other
UnexpectedMaker,UnexpectedMaker/FastLED_NeoMatrix,2024-08-08T22:15:01Z,0,0,C++,True,True,GNU General Public License v3.0
robskillington,robskillington/fluent-bit-docs,2024-08-08T22:02:51Z,0,0,,True,True,
willvelida,willvelida/anzusergroups,2024-08-08T14:09:16Z,0,0,,True,True,
engram-design,engram-design/craft-style-inliner,2024-08-07T08:37:11Z,0,0,,True,False,MIT License
mishmanners,mishmanners/copilotx,2024-08-07T03:16:28Z,1,1,,True,False,MIT License
Aisuko,Aisuko/chatpilot,2024-08-06T23:32:41Z,0,0,Python,True,True,Apache License 2.0
bulkan,bulkan/bubbles,2024-08-06T10:52:07Z,0,0,Go,True,True,MIT License
djmdjm,djmdjm/gitlimit,2024-08-06T06:17:09Z,4,4,Go,True,True,ISC License
JiashuWu,JiashuWu/voc,2024-08-05T12:45:08Z,0,0,HTML,True,True,
bryceadams,bryceadams/slack-laravel,2024-08-05T11:16:44Z,0,0,PHP,True,True,MIT License
KaelWD,KaelWD/cosmic-sdk-js,2024-08-04T14:10:46Z,0,0,,True,True,MIT License
leonyuhanov,leonyuhanov/ESP32_RGBW_ArtNet,2024-08-04T02:28:55Z,0,0,C++,True,True,GNU General Public License v3.0
Zemerik,Zemerik/ZemDocs,2024-08-03T14:11:30Z,17,17,Astro,False,False,Apache License 2.0
radar,radar/cards_tf,2024-08-03T00:26:00Z,0,0,Python,True,True,
ocavue,ocavue/astrobook,2024-08-02T11:01:12Z,94,94,TypeScript,True,False,MIT License
junhaow1,junhaow1/rattleng,2024-08-02T01:28:23Z,0,0,Dart,True,True,GNU General Public License v3.0
sammcj,sammcj/ai-router-chat,2024-08-01T22:00:39Z,0,0,TypeScript,True,True,MIT License
marcusvolz,marcusvolz/mathematica,2024-07-31T13:43:02Z,1,1,,True,True,
willvelida,willvelida/aks-platform-engineering,2024-07-31T00:13:36Z,0,0,HCL,True,True,MIT License
timacdonald,timacdonald/clickhouse-docs,2024-07-30T23:51:41Z,0,0,,True,True,Other
cjbj,cjbj/pecl-database-pdo_oci,2024-07-30T01:02:05Z,0,0,PHP,True,True,Other
evgenyneu,evgenyneu/CMSaasStarter,2024-07-29T06:28:49Z,0,0,,True,False,MIT License
KaelWD,KaelWD/do-pnpm-test,2024-07-27T06:47:49Z,0,0,JavaScript,True,True,
KaelWD,KaelWD/ecosystem-ci,2024-07-26T13:50:49Z,0,0,,True,True,MIT License
chrisleekr,chrisleekr/homelab-infrastructure,2024-07-26T12:00:03Z,1,1,HCL,False,False,
dhotson,dhotson/activeadmin,2024-07-26T00:41:32Z,0,0,,True,True,MIT License
navidcy,navidcy/aus2200-intake,2024-07-22T10:59:55Z,0,0,,True,True,Apache License 2.0
Karolyna84,Karolyna84/java-cheat-codes-most-popular-functions-3813068,2024-07-22T10:02:28Z,0,0,,True,True,Other
chris-horner,chris-horner/EaseOutBack-Crash,2024-07-21T02:10:46Z,0,0,Kotlin,True,True,
nataliethenerd,nataliethenerd/RainsGBTurbo,2024-07-20T13:20:03Z,7,7,C++,True,True,Other
eliocamp,eliocamp/cvms,2024-07-19T14:48:13Z,0,0,,True,True,Other
MugunthKumar,MugunthKumar/audible-bookmark-extractor,2024-07-19T04:17:34Z,1,1,Python,True,True,
Benjamin-Dobell,Benjamin-Dobell/ComfyUI-CoreMLSuite,2024-07-18T15:16:25Z,1,1,Python,True,True,GNU General Public License v3.0
philipbelesky,philipbelesky/husky,2024-07-18T05:14:54Z,0,0,,True,False,MIT License
vektah,vektah/go-statsd,2024-07-18T03:59:50Z,0,0,Go,True,True,MIT License
timacdonald,timacdonald/inertia-eager-asset-prefetch,2024-07-17T22:10:59Z,3,3,PHP,True,True,MIT License
mosh-hamedani,mosh-hamedani/python-supplementary-materials,2024-07-16T22:44:04Z,23,23,,True,True,
bcgit,bcgit/bc-rust,2024-07-16T19:40:06Z,0,0,,True,True,
davkean,davkean/Nerdbank.Streams,2024-07-16T00:31:12Z,0,0,,True,False,MIT License
NiREvil,NiREvil/WarpScanner,2024-07-15T16:41:16Z,3,3,,True,True,
nataliethenerd,nataliethenerd/GCController23-0899D,2024-07-15T13:05:35Z,10,10,,True,True,Other
jesseduffield,jesseduffield/ahoy_email,2024-07-15T12:42:57Z,1,1,,True,False,MIT License
cjbj,cjbj/python-cx_Oracle,2024-07-15T11:42:30Z,0,0,,True,False,Other
cjbj,cjbj/oci-typescript-sdk,2024-07-15T09:25:15Z,0,0,,True,True,Other
feilipu,feilipu/asteroids_regis,2024-07-15T06:19:54Z,0,0,C,True,True,GNU General Public License v2.0
KieraDOG,KieraDOG/chuckroo,2024-07-15T03:24:06Z,0,0,JavaScript,True,True,
nataliethenerd,nataliethenerd/YAPoco,2024-07-12T16:09:32Z,32,32,,True,True,Other
arttnba3,arttnba3/kallsyms_lookuper,2024-07-12T15:15:01Z,3,3,C,True,True,GNU General Public License v2.0
Djelibeybi,Djelibeybi/home-assistant-docs,2024-07-11T22:38:03Z,0,0,,True,False,Other
navidcy,navidcy/computational-thinking-template,2024-07-11T09:04:20Z,0,0,,True,True,Other
sayboras,sayboras/dotfiles,2024-07-11T02:31:23Z,0,0,Shell,True,True,
sammcj,sammcj/closing-the-gap,2024-07-10T22:38:50Z,2,2,JavaScript,False,False,MIT License
pazaan,pazaan/terraform-aws-rds-cluster,2024-07-10T02:10:31Z,0,0,,True,False,Apache License 2.0
TuPayChain,TuPayChain/initial-coin-offering-platform,2024-07-09T14:01:52Z,2,2,,True,True,
cjbj,cjbj/doc-base,2024-07-09T04:18:44Z,0,0,PHP,True,False,Other
cjbj,cjbj/doc-en,2024-07-09T04:16:47Z,0,0,XML,True,False,
okeeffed,okeeffed/codemod-tsoa-401-403,2024-07-09T03:02:54Z,0,0,TypeScript,True,True,
KaelWD,KaelWD/AceJump,2024-07-08T08:35:47Z,0,0,,True,True,GNU General Public License v3.0
mishmanners,mishmanners/awesome-github-profile-readme,2024-07-08T05:29:14Z,0,0,,True,True,Creative Commons Zero v1.0 Universal
KaelWD,KaelWD/edgedb,2024-07-07T14:31:48Z,0,0,,True,False,Apache License 2.0
tabs-not-spaces,tabs-not-spaces/AzAuth,2024-07-07T04:11:09Z,0,0,PowerShell,True,False,MIT License
Zemerik,Zemerik/ZemPosts,2024-07-06T04:37:09Z,20,20,Astro,False,False,MIT License
benschwarz,benschwarz/chrome-har,2024-07-04T01:39:38Z,0,0,,True,True,MIT License
mukul500,mukul500/system-design-primer,2024-07-04T01:30:30Z,0,0,,True,True,Other
ocavue,ocavue/ai,2024-07-03T15:53:26Z,1,1,,True,False,Other
davkean,davkean/csharp-uniontypes,2024-07-03T12:38:07Z,0,0,,True,True,MIT License
dicook,dicook/dicook-quarto,2024-07-03T10:58:19Z,0,0,HTML,True,True,Creative Commons Zero v1.0 Universal
KaelWD,KaelWD/hono-session,2024-07-03T08:53:36Z,3,3,TypeScript,True,True,MIT License
pazaan,pazaan/terraform-aws-tfstate-backend,2024-07-03T03:56:17Z,0,0,HCL,True,False,Apache License 2.0
ianw,ianw/dracut-ng,2024-07-03T01:29:10Z,0,0,,True,True,GNU General Public License v2.0
kivikakk,kivikakk/amaranth-yosys,2024-07-02T14:14:54Z,0,0,,True,False,ISC License
cjbj,cjbj/pecl-database-oci8,2024-07-02T02:46:27Z,0,0,PHP,True,True,Other
kivikakk,kivikakk/amaranth-boards,2024-07-01T19:13:22Z,0,0,Python,True,False,"BSD 2-Clause ""Simplified"" License"
ianw,ianw/asciidoctor,2024-07-01T03:16:14Z,0,0,,True,True,Other
vertxxyz,vertxxyz/Vertx.EdgeKnife,2024-06-30T05:44:12Z,5,5,C#,False,False,MIT License
prodigysml,prodigysml/steampipe-plugin-spdx,2024-06-30T03:19:00Z,1,1,Go,True,True,
JaseZiv,JaseZiv/generative-ai-for-beginners,2024-06-29T11:08:23Z,0,0,,True,False,MIT License
tabs-not-spaces,tabs-not-spaces/2024,2024-06-29T09:22:49Z,1,1,PowerShell,True,True,
prodigysml,prodigysml/steampipe-plugin-discloseio-diodb,2024-06-28T13:33:31Z,2,2,Go,True,True,
sync,sync/canaries,2024-06-28T00:03:32Z,0,0,TypeScript,True,True,
ziplab,ziplab/ZipLLM,2024-06-27T06:45:40Z,1,1,,True,True,
KaelWD,KaelWD/hono_sessions,2024-06-26T15:44:43Z,0,0,TypeScript,True,True,MIT License
psifertex,psifertex/binja-xtensa,2024-06-24T22:08:14Z,0,0,,True,False,MIT License
KaelWD,KaelWD/mpv-changerefresh,2024-06-24T14:42:37Z,0,0,Lua,True,True,MIT License
mitchdenny,mitchdenny/aspire-samples,2024-06-24T13:03:29Z,0,0,,True,True,MIT License
mitchdenny,mitchdenny/aspire,2024-06-24T04:52:36Z,0,0,,True,False,MIT License
djmdjm,djmdjm/httpbasicauth,2024-06-23T08:45:01Z,0,0,Go,True,True,MIT License
eliocamp,eliocamp/agroclimatico.en,2024-06-21T01:07:49Z,0,0,R,True,True,
Zemerik,Zemerik/ZemShowcase,2024-06-19T09:14:05Z,17,17,TypeScript,False,False,Apache License 2.0
eliocamp,eliocamp/access-s2-ice,2024-06-19T01:47:12Z,0,0,HTML,True,True,
timacdonald,timacdonald/ClickHouse,2024-06-19T00:32:37Z,0,0,,True,True,Apache License 2.0
ychescale9,ychescale9/compose-lints,2024-06-18T06:33:41Z,0,0,,True,True,Apache License 2.0
KaelWD,KaelWD/hono,2024-06-18T05:59:53Z,0,0,,True,False,MIT License
Djelibeybi,Djelibeybi/devices-experiment,2024-06-16T05:37:29Z,0,0,,True,True,
okeeffed,okeeffed/demo-effect-ts-express,2024-06-16T05:20:04Z,1,1,TypeScript,True,True,
yinchuandong,yinchuandong/bonjour,2024-06-14T01:31:26Z,0,0,,True,True,MIT License
dgoodlad,dgoodlad/cheapest-energy-hours,2024-06-14T00:33:25Z,0,0,,True,True,GNU General Public License v3.0
LucasGarcez,LucasGarcez/react-native-share,2024-06-13T04:20:40Z,0,0,Java,True,True,MIT License
LucasGarcez,LucasGarcez/react-native-cli-bump-version,2024-06-11T20:13:09Z,0,0,,True,True,
LucasGarcez,LucasGarcez/react-native-mmkv,2024-06-10T23:50:23Z,0,0,,True,False,MIT License
timacdonald,timacdonald/decorate,2024-06-08T22:21:40Z,0,0,PHP,True,True,
maks,maks/BangleApps,2024-06-08T06:58:56Z,0,0,,True,True,MIT License
Anon-Exploiter,Anon-Exploiter/CRTO-Lab-Status,2024-06-08T03:45:05Z,2,2,Python,True,True,MIT License
matthaywardwebdesign,matthaywardwebdesign/assignment-booter,2024-06-07T23:21:44Z,1,1,JavaScript,True,True,
Sutto,Sutto/2fhey,2024-06-07T00:26:12Z,0,0,,True,True,Creative Commons Zero v1.0 Universal
xxfast,xxfast/Chess-KMP,2024-06-06T13:08:40Z,58,58,Kotlin,True,False,
Gizmotronn,Gizmotronn/askrifendaklon,2024-06-06T10:35:37Z,0,0,TypeScript,True,True,MIT License
UnexpectedMaker,UnexpectedMaker/esp-idf,2024-06-06T09:19:24Z,0,0,C,True,True,Apache License 2.0
Djelibeybi,Djelibeybi/certbot-dns-oci,2024-06-05T22:24:50Z,0,0,,True,False,MIT License
kivikakk,kivikakk/chisel,2024-06-05T14:25:15Z,0,0,,True,False,Apache License 2.0
Team-Nando,Team-Nando/OE4-Asset_Capacity_Delta_V_Integrated_MV-LV_Calculation,2024-06-05T02:01:47Z,0,0,Jupyter Notebook,True,True,"BSD 3-Clause ""New"" or ""Revised"" License"
Team-Nando,Team-Nando/OE3-Asset_Capacity_Critical_V_Integrated_MV-LV_Calculation,2024-06-05T00:15:19Z,0,0,Jupyter Notebook,True,True,"BSD 3-Clause ""New"" or ""Revised"" License"
stevage,stevage/agol-cache,2024-06-04T23:09:24Z,0,0,,True,True,MIT License
philipbelesky,philipbelesky/Clipper2GH,2024-06-04T22:23:16Z,0,0,,True,False,MIT License
leonyuhanov,leonyuhanov/I2SClocklessLedDriver,2024-06-03T04:52:23Z,0,0,C++,True,True,MIT License
Adnan25z,Adnan25z/SmartBushFireRiskGaugeSystem,2024-06-03T03:52:17Z,0,0,C++,True,True,
Adnan25z,Adnan25z/MatchsticsARM,2024-06-03T03:38:33Z,0,0,,True,True,
kivikakk,kivikakk/ili9341spi,2024-05-31T18:41:18Z,0,0,Python,False,False,
kivikakk,kivikakk/athena,2024-05-31T16:47:56Z,0,0,Scala,False,False,GNU Lesser General Public License v3.0
taybenlor,taybenlor/jsqx,2024-05-31T06:41:14Z,0,0,TypeScript,True,True,
Adnan25z,Adnan25z/ai-campaigns,2024-05-31T00:44:20Z,0,0,JavaScript,True,True,
Adnan25z,Adnan25z/DockerKubernetes,2024-05-30T01:07:11Z,0,0,JavaScript,True,True,
TheDen,TheDen/awesome-lastfm,2024-05-26T15:14:56Z,0,0,,True,True,Creative Commons Zero v1.0 Universal
TheDen,TheDen/awesome-containerized-security,2024-05-26T15:12:41Z,0,0,,True,False,
TheDen,TheDen/awesome-docker-security,2024-05-26T15:06:43Z,0,0,,True,True,MIT License
TheDen,TheDen/awesome-docker,2024-05-26T14:38:08Z,0,0,,True,False,Apache License 2.0
